from,to,distance
789,820,1.7095
790,791,0.8940
790,821,1.4330
791,792,1.2769
791,822,1.8447
792,793,1.5324
792,823,1.7138
793,794,1.3713
793,824,1.5225
794,795,1.2583
794,825,1.7934
795,796,1.2222
795,826,1.5405
796,797,1.0177
796,827,1.7877
797,798,1.4687
797,828,1.4600
798,799,1.0796
798,829,2.0310
799,800,1.2796
799,830,1.9158
800,801,1.5501
800,831,1.2363
801,802,1.3166
801,832,1.5120
802,803,1.2466
802,833,1.6580
803,804,0.9303
803,834,1.5984
804,805,1.5725
804,835,1.9224
805,836,1.6740
806,807,1.2001
806,837,1.4432
807,808,1.2499
807,838,1.7295
808,809,1.4265
808,839,1.6746
809,810,1.1851
809,840,1.7571
810,811,1.0086
810,841,1.4873
811,812,1.2024
811,842,1.6153
812,813,1.4867
812,843,2.2051
813,814,1.3250
813,844,1.8468
814,815,1.3127
814,845,2.0920
815,816,1.3539
815,846,1.5459
816,817,0.9019
816,847,1.5205
817,818,1.5220
817,848,1.0787
818,819,1.2074
818,849,1.6833
819,820,1.1455
819,850,1.8015
820,821,1.2807
820,851,1.6649
821,822,1.4301
821,852,1.6950
822,823,1.3830
822,853,1.8521
823,824,0.9865
823,854,1.6728
824,825,1.2763
824,855,1.8664
825,826,1.3532
825,856,1.4582
826,827,1.2652
826,857,1.3635
827,828,1.0247
827,858,1.9168
828,829,1.5523
828,859,1.9631
829,830,1.1091
829,860,1.4693
830,831,1.2374
830,861,1.3514
831,832,1.6747
831,862,1.9283
832,833,1.0531
832,863,1.6712
833,834,1.4457
833,864,1.5772
834,835,1.2743
834,865,1.6793
835,836,1.2105
835,866,1.9167
836,867,1.6275
837,838,1.1587
837,868,1.9974
838,839,1.1937
838,869,1.2608
839,840,1.6015
839,870,1.3909
840,841,1.3749
840,871,1.5551
841,842,0.8578
841,872,2.0307
842,843,1.4054
842,873,1.6518
843,844,1.2324
843,874,1.0789
844,845,1.4661
844,875,1.3221
845,846,1.2280
845,876,1.3666
846,847,1.0401
846,877,1.6117
847,848,1.4184
847,878,1.5217
848,849,1.3345
848,879,2.0354
849,850,1.2867
849,880,1.7294
850,851,1.3158
850,881,1.6263
851,852,1.4479
851,882,1.5633
852,853,0.9811
852,883,1.6561
853,854,1.5421
853,884,1.3303
854,855,1.2012
854,885,1.5336
855,856,1.3168
855,886,1.4876
856,857,1.1841
856,887,2.0255
857,858,1.2722
857,888,1.5789
858,859,1.3308
858,889,1.4234
859,860,0.9066
859,890,1.7349
860,861,1.7319
860,891,1.8301
861,862,1.1757
861,892,1.5351
862,863,1.2341
862,893,1.5860
863,864,0.9780
863,894,1.5460
864,865,1.4802
864,895,1.5483
865,866,1.0268
865,896,1.5652
866,867,1.2006
866,897,1.5220
867,898,1.5982
868,869,1.4835
868,899,1.1931
869,870,1.4458
869,900,1.9535
870,871,1.3074
870,901,1.5580
871,872,1.3443
871,902,1.8454
872,873,0.8559
872,903,1.5801
873,874,1.3821
873,904,1.5578
874,875,1.4874
874,905,1.8263
875,876,1.0871
875,906,1.9755
876,877,1.5710
876,907,1.4424
877,878,0.9805
877,908,1.7166
878,879,1.4647
878,909,1.9857
879,880,1.2431
879,910,1.4908
880,881,1.0031
880,911,1.6718
881,882,1.4568
881,912,1.8117
882,883,1.4624
882,913,2.0357
883,884,0.9123
883,914,2.0648
884,885,1.4641
884,915,1.6832
885,886,1.0779
885,916,2.0911
886,887,1.5310
886,917,2.0267
887,888,1.0108
887,918,1.0247
888,889,1.4079
888,919,1.5690
889,890,1.4872
889,920,1.3962
890,891,1.2474
890,921,1.3433
891,892,1.0835
891,922,1.6055
892,893,1.3126
892,923,1.7312
893,894,1.2218
893,924,1.2305
894,895,1.2272
894,925,1.6264
895,896,1.6214
895,926,1.4514
896,897,0.8610
896,927,1.7881
897,898,1.4806
897,928,1.6553
898,929,1.7780
899,900,1.2519
899,930,1.9950
900,901,1.1825
900,931,1.3287
901,902,1.1782
901,932,1.7067
902,903,1.2066
902,933,1.3633
903,904,1.7232
903,934,1.2913
904,905,1.2603
904,935,1.7472
905,906,1.0688
905,936,1.5516
906,907,1.5609
906,937,1.0591
907,908,1.0973
907,938,1.9867
908,909,1.0460
908,939,1.4943
909,910,1.4931
909,940,1.3075
910,911,1.4585
910,941,1.8251
911,912,0.8805
911,942,1.4105
912,913,1.2544
912,943,1.6187
913,914,1.6661
913,944,1.4429
914,915,1.0576
914,945,1.1858
915,916,1.5284
915,946,1.8432
916,917,1.2111
916,947,1.2958
917,918,1.2486
917,948,1.3324
918,919,1.4636
918,949,2.0465
919,920,1.2623
919,950,1.7102
920,921,1.0194
920,951,2.0473
921,922,1.4557
921,952,1.5569
922,923,0.9725
922,953,1.0694
923,924,1.2599
923,954,1.3648
924,925,1.3206
924,955,1.8809
925,926,1.5048
925,956,1.4164
926,927,1.2328
926,957,1.8579
927,928,1.0574
927,958,1.2374
928,929,1.6171
928,959,1.1969
929,960,1.6006
930,931,1.4143
931,932,0.9907
932,933,1.3107
933,934,1.2481
934,935,1.6452
935,936,1.1746
936,937,1.2334
937,938,1.0535
938,939,1.4256
939,940,1.3646
940,941,1.3910
941,942,1.0313
942,943,1.3986
943,944,1.2311
944,945,1.2596
945,946,1.5329
946,947,1.2440
947,948,1.2483
948,949,1.1008
949,950,1.5463
950,951,1.0015
951,952,1.5896
952,953,1.2075
953,954,1.2455
954,955,1.2983
955,956,1.1542
956,957,1.1722
957,958,1.5017
958,959,1.2195
959,960,1.3100
577,485,5.2372
473,538,5.0882
315,374,4.8418
405,377,4.1435
3,63,3.3933
592,496,5.7930
65,93,4.1813
957,864,4.8065
184,275,5.9277
784,848,3.8393
82,146,4.0479
895,924,2.8797
669,761,4.9929
121,60,3.2545
402,431,2.7603
745,686,5.0705
3,93,6.0832
305,307,2.5804
544,547,4.0699
235,173,2.8731
354,291,3.1518
193,258,4.8981
115,25,6.0097
784,689,5.7278
211,115,6.3659
608,515,5.2121
612,676,4.2918
893,798,5.6548
758,665,4.6988
449,388,3.2864
222,318,5.5974
794,699,5.7487
515,482,3.0153
835,898,3.5287
326,358,1.6108
791,856,5.3284
328,265,3.4294
533,471,3.1210
307,273,4.0218
570,603,2.9067
933,873,3.8239
507,413,5.4497
658,720,3.2949
804,834,2.1229
188,282,5.1907
484,425,4.5032
230,202,3.8949
724,665,4.7685
474,382,5.2775
542,480,3.0757
338,397,4.8432
944,947,3.9287
379,287,5.0182
741,832,5.6500
689,721,2.3091
40,130,6.1311
192,288,6.2733
601,665,4.1015
572,510,3.3464
213,305,4.9947
120,185,5.0760
490,430,3.5651
618,678,4.1275
406,345,3.1136
329,421,5.3102
664,632,2.3194
267,237,2.2344
100,195,5.3544
480,576,6.0472
327,264,3.9970
320,317,3.9727
576,667,5.4692
759,694,5.0527
267,299,1.7870
593,655,2.7718
302,238,4.1365
337,275,3.1865
583,674,5.5727
511,544,2.7501
701,669,2.0029
781,874,4.8810
740,804,3.7445
502,500,2.3760
750,842,5.1285
173,113,4.5129
60,88,4.0167
859,949,6.2292
782,689,5.2624
140,235,5.3697
236,145,5.8322
154,59,5.7418
675,672,3.8593
6,38,2.5949
421,325,6.6303
542,603,3.3791
548,514,4.4808
514,609,5.4770
690,693,3.6959
940,848,5.1550
152,88,4.0331
634,664,2.2709
834,802,2.0125
814,811,3.9317
578,518,4.2145
231,202,2.7574
847,937,5.6996
669,764,5.4224
565,562,3.9126
652,561,5.4042
175,82,4.9313
865,867,2.2140
803,773,1.8654
878,786,4.9837
941,846,5.9033
277,181,6.2986
700,670,2.0179
577,636,4.8049
183,275,5.2913
147,243,6.0468
729,822,4.6136
951,857,5.2612
166,195,2.8256
580,676,6.5785
398,461,3.5911
757,698,4.7246
705,764,4.7389
512,573,3.9071
237,327,6.5065
348,382,4.0759
792,758,3.8260
461,459,2.6076
442,382,4.3525
599,661,2.6644
87,181,4.9269
302,393,5.7221
730,634,6.3015
274,212,3.3751
728,823,5.4427
157,219,3.0226
324,290,3.9738
455,427,4.0494
276,181,5.2412
89,27,3.0872
459,491,1.6920
524,521,3.5565
567,475,5.1540
612,704,4.5328
884,881,3.8165
797,706,5.6447
922,951,3.2935
585,614,2.7596
701,699,2.7728
142,110,1.9325
274,272,2.2311
64,2,3.3243
495,585,6.0264
369,336,2.8018
738,800,3.3703
608,637,2.7393
468,373,5.3889
311,218,4.8246
389,485,6.0044
440,536,6.2764
880,943,3.5671
139,107,1.5834
617,677,4.1865
490,457,3.0672
407,375,1.9857
752,816,4.3358
502,536,4.0329
287,383,6.1972
402,368,4.1326
606,635,2.7588
698,792,4.6029
725,663,3.0164
816,788,3.9830
709,619,6.5490
418,480,3.2500
142,203,3.3085
518,613,5.8577
428,456,3.8245
809,780,2.7482
608,667,4.9061
111,202,5.7463
673,734,3.5560
170,233,3.2332
45,78,3.0613
693,755,3.0621
770,742,4.3740
440,344,6.0184
100,67,3.5084
522,585,3.0577
571,604,2.9773
589,527,3.0712
790,853,3.5583
707,736,2.8750
353,260,4.6863
942,846,6.0759
851,911,4.2026
356,324,2.3138
487,394,4.6862
739,801,3.2682
326,232,5.3028
45,140,5.7258
117,27,6.1008
351,410,4.8434
693,784,5.6058
528,467,3.5462
163,133,1.9288
436,434,2.2882
816,818,2.3710
188,128,4.3720
29,92,3.6063
904,842,3.1736
4,64,4.1137
210,182,4.0938
720,816,6.4512
818,912,5.3050
191,159,1.9845
201,198,3.9416
268,333,5.1049
501,534,2.9219
116,84,2.4128
176,271,4.9698
722,814,4.7682
86,146,4.3469
320,225,5.4635
312,217,5.6467
610,549,3.4420
392,390,2.7101
498,561,3.7682
710,770,4.3136
568,506,3.1052
295,231,4.3590
322,415,4.8510
634,544,5.9885
367,274,4.7717
139,80,5.0700
393,425,1.9290
727,820,4.7017
500,435,4.7345
578,488,6.5054
779,716,3.2836
33,0,2.8645
550,517,2.8383
760,856,6.3845
507,539,2.0048
115,143,4.3720
274,368,4.8705
843,813,2.3534
842,932,5.8792
778,840,3.5420
559,497,3.0128
104,169,4.7547
669,760,5.2588
304,394,6.3328
460,428,2.1370
449,539,6.3297
794,885,5.4349
214,309,5.3232
602,663,3.4833
881,944,3.4739
647,645,2.6408
630,571,4.9635
211,302,5.7603
824,732,5.0342
359,389,2.1601
611,640,2.8371
331,392,2.9079
296,326,2.5242
878,911,3.3628
834,739,5.4267
768,861,4.5806
940,846,5.1352
887,947,3.9135
718,809,5.2383
255,195,3.8543
329,420,5.5089
779,874,5.1919
402,400,2.4449
591,652,3.8976
462,371,5.7328
813,903,6.4531
412,445,2.8454
284,345,3.5807
595,505,6.2345
792,887,6.0519
95,157,3.4764
366,456,5.6314
223,226,3.6585
330,422,5.1286
345,377,2.2566
133,167,4.1220
641,737,6.2232
470,374,6.3839
451,448,3.9980
438,378,3.7880
931,871,3.9614
955,921,4.1206
670,638,2.0664
84,55,2.8479
53,55,2.4854
312,376,3.9527
773,711,3.1439
671,580,5.6375
97,2,5.3416
488,393,5.1728
607,546,3.2873
696,693,3.5792
8,69,3.8827
432,492,4.4359
489,394,5.3463
392,301,5.3209
825,729,6.0868
320,288,2.2969
140,143,3.7259
832,928,6.0651
136,200,3.7658
146,54,5.2201
576,484,5.1676
665,603,3.5359
359,419,3.9635
643,703,4.1791
703,706,3.7888
222,126,6.6173
143,233,5.6470
810,746,4.0134
283,342,5.1271
254,286,2.5788
614,677,3.5648
291,386,5.2000
27,123,5.8745
674,641,2.9126
530,562,1.8983
193,255,3.2863
302,361,5.0587
802,893,5.6383
506,503,3.7306
608,516,5.0789
910,816,4.8676
956,923,2.9363
396,492,5.9993
781,784,3.6777
220,124,6.3639
293,357,3.9536
513,606,5.4369
433,495,3.3129
84,147,3.8635
550,579,3.1488
284,190,5.0298
80,109,3.1664
827,766,3.4173
665,729,4.0722
67,38,2.7310
447,512,5.1466
244,149,5.6743
88,85,3.7514
56,27,3.1334
759,823,4.0843
179,83,6.0093
724,664,4.0633
355,387,1.8005
801,896,5.4397
265,202,3.1806
129,194,5.1755
894,865,3.0784
907,817,5.4840
921,827,5.0241
536,442,4.7553
729,762,3.0289
523,489,4.0611
511,605,4.5625
170,137,3.2886
261,351,6.4581
915,948,3.0269
740,645,5.6862
758,786,3.9965
45,141,6.3127
942,878,4.0025
566,661,5.3683
758,820,3.0367
229,196,3.0014
426,487,3.6495
277,367,5.9999
585,551,3.8222
514,573,5.0853
528,435,4.7950
70,73,3.8738
289,385,6.0864
318,284,3.6166
566,563,3.3780
377,314,3.7621
577,669,5.0662
757,786,3.0477
475,445,1.9361
505,601,6.0671
200,263,3.7733
778,869,5.5105
154,61,4.8614
354,419,5.3716
710,616,4.9033
1,96,5.6218
385,480,5.5793
210,239,3.1022
429,426,3.7757
145,206,3.9728
95,0,5.4013
422,483,2.9704
469,528,4.7654
594,502,5.1226
136,201,4.8796
403,311,5.1985
581,488,5.2005
678,614,3.9047
298,270,4.4023
717,812,4.9027
278,213,5.1552
207,148,4.8729
159,64,5.0779
416,324,5.0412
366,457,5.2446
271,361,6.3662
702,674,4.1774
721,784,3.5894
877,844,3.0483
50,111,3.7858
266,357,5.4545
31,34,3.5766
563,498,5.3506
473,383,6.5830
812,747,4.2443
799,735,3.7511
202,295,4.8827
381,445,4.1043
596,626,2.0889
828,763,4.8920
828,794,3.6673
43,40,3.9180
841,903,3.5830
508,415,4.3641
699,697,2.4261
362,298,4.4515
904,839,5.2917
628,660,2.1325
251,312,3.5196
490,394,6.0792
286,284,2.5878
429,369,3.8758
255,320,5.3864
556,646,6.1608
391,486,5.6175
184,90,4.5918
611,546,4.9249
287,197,6.1300
483,513,2.0442
785,814,2.7643
163,68,5.6540
672,609,3.9138
546,642,6.2650
782,721,3.7872
866,959,4.3661
363,459,6.2884
177,113,4.1524
606,578,4.1946
755,816,3.5243
720,781,3.5069
581,610,2.8458
576,517,5.4434
316,254,3.3848
238,267,3.0037
206,297,5.1234
348,408,4.4401
889,855,3.9832
721,662,4.6214
113,207,4.7266
881,847,4.1912
382,446,3.9185
344,312,1.8785
139,79,4.0045
447,542,5.5215
498,559,3.5304
178,241,3.2116
365,305,3.8771
603,694,5.2594
387,358,3.3186
705,672,2.6971
181,240,5.0790
325,419,5.3175
226,289,3.5385
106,104,2.2383
339,398,4.7922
243,211,2.1802
171,230,4.9603
841,905,4.1397
654,715,3.7283
457,363,4.9778
214,154,4.1035
69,37,2.0284
448,510,3.0531
848,851,3.9060
884,917,3.4561
166,163,3.3785
818,908,6.0853
301,207,5.2913
267,171,6.6688
350,288,3.3091
164,223,5.0779
560,466,5.5410
721,628,4.6242
669,608,3.3893
911,909,2.9352
210,148,3.2380
713,746,2.8409
271,332,3.7813
304,239,4.4469
562,655,4.5493
157,63,5.4804
3,0,3.8189
301,396,5.7110
204,108,6.0706
211,151,3.7424
298,205,4.7774
864,770,4.8244
500,561,3.9159
93,156,3.0742
396,333,3.6485
191,188,3.8259
269,210,5.3095
275,303,3.9821
684,656,3.7630
554,557,4.0320
62,155,5.4281
548,613,5.0201
902,840,3.3856
306,213,4.8048
35,67,1.8487
922,956,3.6698
585,648,3.9374
150,60,6.2186
459,395,4.0408
216,307,5.7915
129,36,4.4631
